fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
1999634,100261,NDB #,Foundation,"Tomato, roma",23.9,100,g,"100 g",23.9
1999633,11457,NDB #,Foundation,"Spinach, mature",306,100,g,"100 g",306
1999632,100260,NDB #,Foundation,"Spinach, baby",283,100,g,"100 g",283
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",41.4,100,g,"100 g",41.4
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",58.2,100,g,"100 g",58.2
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",1.00,115,g,"1 Banana, Peeled",1.15
1105073,100254,NDB #,Foundation,"Bananas, overripe, raw",1.00,110,g,"1 Banana, Peeled",1.10
790508,1001,NDB #,Foundation,"Butter, stick, salted",758,100,g,"100 g",758
748967,1123,NDB #,Foundation,"Eggs, Grade A, Large, egg whole",180,50.2999999999999971578290569595992565155029296875,g,"1 egg, whole without shell",90.5
747447,11090,NDB #,Foundation,"Broccoli, raw",8.00,76,g,"1 cup, chopped",6.08
746785,5666,NDB #,Foundation,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",30.0,155,g,"1 paired cooked w, crumbles",46.5
746780,7089,NDB #,Foundation,"Sausage, Italian, pork, mild, cooked, pan-fried",22.0,86.599999999999994315658113919198513031005859375,g,"1 link, medium",19.1
746782,1077,NDB #,Foundation,"Milk, whole, 3.25% milkfat, with added vitamin D",32.0,249,g,"1 cup",79.7
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.000,80.400000000000005684341886080801486968994140625,g,"1 link, medium",0.000
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.000,185,g,"1 cup, ground",0.000
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.000,186,g,"1 link, long",0.000
746777,6164,NDB #,Foundation,"Sauce, salsa, ready-to-serve",24.0,35.7000000000000028421709430404007434844970703125,g,"2 tablespoon",8.57
746778,1079,NDB #,Foundation,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",83.0,245,g,"1 cup",203
746776,1085,NDB #,Foundation,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",64.0,246,g,"1 cup",157
746779,7954,NDB #,Foundation,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",18.0,18.60000000000000142108547152020037174224853515625,g,"1 link",3.35
746772,1082,NDB #,Foundation,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",58.0,246,g,"1 cup",143
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,55,g,"1 wedge, small (1/8 of small melon)",128
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,552,g,"1 each, medium (about 5 dia)",1.28E+3
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,156,g,"1 cup, diced",362
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,138,g,"10 pieces, balls",320
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,160,g,"1 cup, cubes",371
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,814,g,"1 each, large (about 6-1/2 dia)",1.89E+3
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,441,g,"1 each, small (about 4-1/4 dia)",1.02E+3
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,102,g,"1 wedge, large (1/8 of large melon)",237
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",232,69,g,"1 wedge, medium (1/8 of medium melon)",160
