fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2710832,100358,NDB #,Foundation,"Mandarin, seedless, peeled, raw",21.2,100,g,"100 g",21.2
2710831,100357,NDB #,Foundation,"Kiwifruit (kiwi), green, peeled, raw",58.8,100,g,"100 g",58.8
2710817,9277,NDB #,Foundation,"Plantains, ripe, raw",20.1,100,g,"100 g",20.1
2710815,9021,NDB #,Foundation,"Apricot, with skin, raw",3.1,100,g,"100 g",3.1
2710816,9184,NDB #,Foundation,"Melons, honeydew, raw",15.7,100,g,"100 g",15.7
2710843,100371,NDB #,Foundation,"Plantains, overripe, raw",19.1,100,g,"100 g",19.1
2710822,100346,NDB #,Foundation,"Arugula, baby, raw",101,100,g,"100 g",101
2710818,9542,NDB #,Foundation,"Plantains, underripe, raw",18.5,100,g,"100 g",18.5
2710836,9415,NDB #,Foundation,"Pear, Anjou, green, with skin, raw",5.5,100,g,"100 g",5.5
2710823,100347,NDB #,Foundation,"Asparagus, green, raw",9.2,100,g,"100 g",9.2
2710837,100363,NDB #,Foundation,"Plum, black, with skin, raw",1.8,100,g,"100 g",1.8
2710834,100360,NDB #,Foundation,"Mango, Ataulfo, peeled, raw",168,100,g,"100 g",168
2710833,100359,NDB #,Foundation,"Mango, Tommy Atkins, peeled, raw",25.5,100,g,"100 g",25.5
2710824,100348,NDB #,Foundation,"Avocado, Hass, peeled, raw",0.0,100,g,"100 g",0.0
2515377,100292,NDB #,Foundation,"Flour, chestnut",4.0,100,g,"100 g",4.0
2346399,9070,NDB #,Foundation,"Cherries, sweet, dark red, raw",10.4,100,g,"100 g",10.4
2346398,9266,NDB #,Foundation,"Pineapple, raw",58.6,100,g,"100 g",58.6
2346414,9401,NDB #,Foundation,"Applesauce, unsweetened, with added vitamin C",43.7,100,g,"100 g",43.7
2346390,11257,NDB #,Foundation,"Lettuce, leaf, red, raw",9.3,100,g,"100 g",9.3
2346411,9050,NDB #,Foundation,"Blueberries, raw",8.1,100,g,"100 g",8.1
2346412,100279,NDB #,Foundation,"Grapes, red, seedless, raw",3.3,100,g,"100 g",3.3
2346408,11112,NDB #,Foundation,"Cabbage, red, raw",53.9,100,g,"100 g",53.9
2346407,11109,NDB #,Foundation,"Cabbage, green, raw",40.3,100,g,"100 g",40.3
2346391,11253,NDB #,Foundation,"Lettuce, leaf, green, raw",15.2,100,g,"100 g",15.2
2346413,100280,NDB #,Foundation,"Grapes, green, seedless, raw",3.0,100,g,"100 g",3.0
2346409,9316,NDB #,Foundation,"Strawberries, raw",59.6,100,g,"100 g",59.6
