fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2647443,100301,NDB #,Foundation,"Cheese, cotija, solid",0.0,100,g,"100 g",0.0
2647442,100300,NDB #,Foundation,"Cheese, queso fresco, solid",0.0,100,g,"100 g",0.0
2647441,100299,NDB #,Foundation,"Cheese, oaxaca, solid",0.0,100,g,"100 g",0.0
2647440,100298,NDB #,Foundation,"Cheese, provolone, sliced",0.0,100,g,"100 g",0.0
2647439,100297,NDB #,Foundation,"Cheese, pasteurized process cheese food or product, American, singles",177,100,g,"100 g",177
2647438,100296,NDB #,Foundation,"Cheese, monterey jack, solid",0.0,100,g,"100 g",0.0
2647437,100295,NDB #,Foundation,"Yogurt, plain, nonfat",8.7,100,g,"100 g",8.7
2259796,1019,NDB #,Foundation,"Cheese, feta, whole milk, crumbled",0.0,100,g,"100 g",0.0
2259795,100272,NDB #,Foundation,"Cheese, parmesan, grated, refrigerated",0.0,100,g,"100 g",0.0
2259794,1293,NDB #,Foundation,"Yogurt, Greek, plain, whole milk",0.0,100,g,"100 g",0.0
2259793,1116,NDB #,Foundation,"Yogurt, plain, whole milk",31.1,100,g,"100 g",31.1
2259792,1088,NDB #,Foundation,"Buttermilk, low fat",21.7,100,g,"100 g",21.7
2257046,100277,NDB #,Foundation,"Oat milk, unsweetened, plain, refrigerated",68.0,100,g,"100 g",68.0
2257045,100276,NDB #,Foundation,"Almond milk, unsweetened, plain, refrigerated",63.6,100,g,"100 g",63.6
2257044,100275,NDB #,Foundation,"Soy milk, sweetened, plain, refrigerated",185,100,g,"100 g",185
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",0.0,100,g,"100 g",0.0
2003603,100264,NDB #,Foundation,"Mushroom, beech",14.8,100,g,"100 g",14.8
2003602,11993,NDB #,Foundation,"Mushroom, maitake",64.0,100,g,"100 g",64.0
2003601,11266,NDB #,Foundation,"Mushroom, crimini",0.0,100,g,"100 g",0.0
2003600,11950,NDB #,Foundation,"Mushroom, enoki",0.0,100,g,"100 g",0.0
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",2.8,100,g,"100 g",2.8
2003598,11243,NDB #,Foundation,"Mushroom, portabella",0.0,100,g,"100 g",0.0
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",37.1,100,g,"100 g",37.1
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",27.2,100,g,"100 g",27.2
1999629,11260,NDB #,Foundation,"Mushrooms, white button",0.9,100,g,"100 g",0.9
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",2.2,100,g,"100 g",2.2
1999627,11987,NDB #,Foundation,"Mushroom, oyster",1.6,100,g,"100 g",1.6
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",0.8,100,g,"100 g",0.8
790508,1001,NDB #,Foundation,"Butter, stick, salted",16.0,100,g,"100 g",16.0
748967,1123,NDB #,Foundation,"Eggs, Grade A, Large, egg whole",98.4,50.2999999999999971578290569595992565155029296875,g,"1 egg, whole without shell",49.5
746782,1077,NDB #,Foundation,"Milk, whole, 3.25% milkfat, with added vitamin D",38.4,249,g,"1 cup",95.6
746778,1079,NDB #,Foundation,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",45.2,245,g,"1 cup",111
746776,1085,NDB #,Foundation,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",44.0,246,g,"1 cup",108
746772,1082,NDB #,Foundation,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",42.4,246,g,"1 cup",104
746767,1040,NDB #,Foundation,"Cheese, swiss",0.0,10.9000000000000003552713678800500929355621337890625,g,"1 slice, thin",0.0
746767,1040,NDB #,Foundation,"Cheese, swiss",0.0,21.89999999999999857891452847979962825775146484375,g,"1 slice, regular",0.0
746765,1227,NDB #,Foundation,"Cheese, dry white, queso seco",73.3,97.2999999999999971578290569595992565155029296875,g,"1 cup, grated",71.3
746759,23385,NDB #,Foundation,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",0.0,284,g,"1 steak, raw",0.0
746761,23359,NDB #,Foundation,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, select, raw",0.0,788,g,"1 roast, raw",0.0
334536,36602,NDB #,Foundation,"Restaurant, Chinese, fried rice, without meat",0.0,133,g,"1 cup",0.0
334194,15121,NDB #,Foundation,"Fish, tuna, light, canned in water, drained solids",47.0,107,g,"1 can, drained solids",50.3
334194,15121,NDB #,Foundation,"Fish, tuna, light, canned in water, drained solids",47.0,142,g,"1 can, total can contents",66.7
333476,15066,NDB #,Foundation,"Fish, pollock, raw",8.0,177,g,"1 fillet",14.2
333374,15033,NDB #,Foundation,"Fish, haddock, raw",18.0,176,g,"1 fillet",31.7
331897,5671,NDB #,Foundation,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",2.0,94.7000000000000028421709430404007434844970703125,g,"1 drumstick, without skin",1.9
331897,5671,NDB #,Foundation,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",2.0,104,g,"1 drumstick, with skin",2.1
