fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2647443,100301,NDB #,Foundation,"Cheese, cotija, solid",0.00,100,g,"100 g",0.00
2647442,100300,NDB #,Foundation,"Cheese, queso fresco, solid",0.00,100,g,"100 g",0.00
2647441,100299,NDB #,Foundation,"Cheese, oaxaca, solid",0.00,100,g,"100 g",0.00
2647440,100298,NDB #,Foundation,"Cheese, provolone, sliced",0.00,100,g,"100 g",0.00
2647439,100297,NDB #,Foundation,"Cheese, pasteurized process cheese food or product, American, singles",4.42,100,g,"100 g",4.42
2647438,100296,NDB #,Foundation,"Cheese, monterey jack, solid",0.00,100,g,"100 g",0.00
2647437,100295,NDB #,Foundation,"Yogurt, plain, nonfat",0.22,100,g,"100 g",0.22
2259796,1019,NDB #,Foundation,"Cheese, feta, whole milk, crumbled",0.00,100,g,"100 g",0.00
2259795,100272,NDB #,Foundation,"Cheese, parmesan, grated, refrigerated",0.00,100,g,"100 g",0.00
2259794,1293,NDB #,Foundation,"Yogurt, Greek, plain, whole milk",0.00,100,g,"100 g",0.00
2259793,1116,NDB #,Foundation,"Yogurt, plain, whole milk",0.78,100,g,"100 g",0.78
2259792,1088,NDB #,Foundation,"Buttermilk, low fat",0.54,100,g,"100 g",0.54
2257046,100277,NDB #,Foundation,"Oat milk, unsweetened, plain, refrigerated",1.70,100,g,"100 g",1.70
2257045,100276,NDB #,Foundation,"Almond milk, unsweetened, plain, refrigerated",1.59,100,g,"100 g",1.59
2257044,100275,NDB #,Foundation,"Soy milk, sweetened, plain, refrigerated",4.63,100,g,"100 g",4.63
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",0.00,100,g,"100 g",0.00
2003603,100264,NDB #,Foundation,"Mushroom, beech",0.37,100,g,"100 g",0.37
2003602,11993,NDB #,Foundation,"Mushroom, maitake",1.60,100,g,"100 g",1.60
2003601,11266,NDB #,Foundation,"Mushroom, crimini",0.00,100,g,"100 g",0.00
2003600,11950,NDB #,Foundation,"Mushroom, enoki",0.00,100,g,"100 g",0.00
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",0.07,100,g,"100 g",0.07
2003598,11243,NDB #,Foundation,"Mushroom, portabella",0.00,100,g,"100 g",0.00
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",0.93,100,g,"100 g",0.93
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",0.68,100,g,"100 g",0.68
1999629,11260,NDB #,Foundation,"Mushrooms, white button",0.02,100,g,"100 g",0.02
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",0.06,100,g,"100 g",0.06
1999627,11987,NDB #,Foundation,"Mushroom, oyster",0.04,100,g,"100 g",0.04
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",0.02,100,g,"100 g",0.02
790508,1001,NDB #,Foundation,"Butter, stick, salted",0.40,100,g,"100 g",0.40
