fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2262075,12220,NDB #,Foundation,"Flaxseed, ground",0.00,100,g,"100 g",0.00
2262072,16098,NDB #,Foundation,"Peanut butter, creamy",5.41,100,g,"100 g",5.41
2262073,100271,NDB #,Foundation,"Sesame butter, creamy",0.00,100,g,"100 g",0.00
2262074,12195,NDB #,Foundation,"Almond butter, creamy",16.7,100,g,"100 g",16.7
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",3.32,100,g,"100 g",3.32
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",0.16,100,g,"100 g",0.16
1750349,100262,NDB #,Foundation,"Oil, sunflower",68.5,100,g,"100 g",68.5
1750348,4042,NDB #,Foundation,"Oil, peanut",15.2,100,g,"100 g",15.2
1750351,100258,NDB #,Foundation,"Oil, olive, extra light",20.9,100,g,"100 g",20.9
1750350,4511,NDB #,Foundation,"Oil, safflower",46.0,100,g,"100 g",46.0
790508,1001,NDB #,Foundation,"Butter, stick, salted",0.00,100,g,"100 g",0.00
748323,4518,NDB #,Foundation,"Oil, corn",22.6,91.2999999999999971578290569595992565155029296875,g,"100 milliliter",20.6
748366,4044,NDB #,Foundation,"Oil, soybean",12.2,91.2999999999999971578290569595992565155029296875,g,"100 milliliter",11.1
748236,1125,NDB #,Foundation,"Eggs, Grade A, Large, egg yolk",5.64,17,g,"1 egg, yolk",0.96
748278,4582,NDB #,Foundation,"Oil, canola",17.3,90.900000000000005684341886080801486968994140625,g,"100 milliliter",15.7
747447,11090,NDB #,Foundation,"Broccoli, raw",0.15,76,g,"1 cup, chopped",0.11
746785,5666,NDB #,Foundation,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.18,155,g,"1 paired cooked w, crumbles",0.28
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.24,27.89999999999999857891452847979962825775146484375,g,"1 link",0.07
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.24,450,g,"1 package",1.08
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.50,80.400000000000005684341886080801486968994140625,g,"1 link, medium",1.21
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.50,185,g,"1 cup, ground",2.78
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.50,186,g,"1 link, long",2.79
746782,1077,NDB #,Foundation,"Milk, whole, 3.25% milkfat, with added vitamin D",0.05,249,g,"1 cup",0.12
746780,7089,NDB #,Foundation,"Sausage, Italian, pork, mild, cooked, pan-fried",0.80,86.599999999999994315658113919198513031005859375,g,"1 link, medium",0.69
746777,6164,NDB #,Foundation,"Sauce, salsa, ready-to-serve",1.22,35.7000000000000028421709430404007434844970703125,g,"2 tablespoon",0.44
746776,1085,NDB #,Foundation,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.00,246,g,"1 cup",0.00
746779,7954,NDB #,Foundation,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.33,18.60000000000000142108547152020037174224853515625,g,"1 link",0.06
746778,1079,NDB #,Foundation,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.03,245,g,"1 cup",0.07
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.89,41.7999999999999971578290569595992565155029296875,g,"3 pieces",0.37
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.89,611,g,"1 order",5.44
746772,1082,NDB #,Foundation,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.02,246,g,"1 cup",0.05
746769,11251,NDB #,Foundation,"Lettuce, cos or romaine, raw",0.14,581,g,"1 bunch",0.81
746765,1227,NDB #,Foundation,"Cheese, dry white, queso seco",0.49,97.2999999999999971578290569595992565155029296875,g,"1 cup, grated",0.48
746767,1040,NDB #,Foundation,"Cheese, swiss",0.60,10.9000000000000003552713678800500929355621337890625,g,"1 slice, thin",0.07
746767,1040,NDB #,Foundation,"Cheese, swiss",0.60,21.89999999999999857891452847979962825775146484375,g,"1 slice, regular",0.13
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.36,149,g,"1 cup",0.54
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.36,8.4000000000000003552713678800500929355621337890625,g,"1 each",0.03
