fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2259793,1116,NDB #,Foundation,"Yogurt, plain, whole milk",0.0,100,g,"100 g",0.0
2259794,1293,NDB #,Foundation,"Yogurt, Greek, plain, whole milk",0.0,100,g,"100 g",0.0
2346387,1056,NDB #,Foundation,"Cream, sour, full fat",0.0,100,g,"100 g",0.0
2346386,1053,NDB #,Foundation,"Cream, heavy",0.0,100,g,"100 g",0.0
2346385,1017,NDB #,Foundation,"Cream cheese, full fat, block",0.0,100,g,"100 g",0.0
2346384,1012,NDB #,Foundation,"Cottage cheese, full fat, large or small curd",0.0,100,g,"100 g",0.0
2259795,100272,NDB #,Foundation,"Cheese, parmesan, grated, refrigerated",0.0,100,g,"100 g",0.0
2259796,1019,NDB #,Foundation,"Cheese, feta, whole milk, crumbled",0.0,100,g,"100 g",0.0
2259792,1088,NDB #,Foundation,"Buttermilk, low fat",0.0,100,g,"100 g",0.0
2346403,100285,NDB #,Foundation,"Potatoes, gold, without skin, raw",0.0,100,g,"100 g",0.0
2346404,100286,NDB #,Foundation,"Sweet potatoes, orange flesh, without skin, raw",0.0,100,g,"100 g",0.0
2346402,100284,NDB #,Foundation,"Potatoes, red, without skin, raw",0.0,100,g,"100 g",0.0
2346401,100283,NDB #,Foundation,"Potatoes, russet, without skin, raw",0.0,100,g,"100 g",0.0
2346400,11052,NDB #,Foundation,"Beans, snap, green, raw",0.0,100,g,"100 g",0.0
2346408,11112,NDB #,Foundation,"Cabbage, red, raw",0.0,100,g,"100 g",0.0
2346407,11109,NDB #,Foundation,"Cabbage, green, raw",0.0,100,g,"100 g",0.0
2346406,11205,NDB #,Foundation,"Cucumber, with peel, raw",0.0,100,g,"100 g",0.0
2346390,11257,NDB #,Foundation,"Lettuce, leaf, red, raw",0.0,100,g,"100 g",0.0
2346391,11253,NDB #,Foundation,"Lettuce, leaf, green, raw",0.0,100,g,"100 g",0.0
2346389,100281,NDB #,Foundation,"Lettuce, romaine, green, raw",0.0,100,g,"100 g",0.0
2346388,11252,NDB #,Foundation,"Lettuce, iceberg, raw",0.0,100,g,"100 g",0.0
2257046,100277,NDB #,Foundation,"Oat milk, unsweetened, plain, refrigerated",0.0,100,g,"100 g",0.0
2257045,100276,NDB #,Foundation,"Almond milk, unsweetened, plain, refrigerated",0.0,100,g,"100 g",0.0
2257044,100275,NDB #,Foundation,"Soy milk, sweetened, plain, refrigerated",0.0,100,g,"100 g",0.0
2346392,12147,NDB #,Foundation,"Nuts, pine nuts, raw",0.0,100,g,"100 g",0.0
2346393,12061,NDB #,Foundation,"Nuts, almonds, whole, raw",0.0,100,g,"100 g",0.0
2346394,12155,NDB #,Foundation,"Nuts, walnuts, English, halves, raw",0.0,100,g,"100 g",0.0
2346395,12142,NDB #,Foundation,"Nuts, pecans, halves, raw",0.0,100,g,"100 g",0.0
1750348,4042,NDB #,Foundation,"Oil, peanut",0.0,100,g,"100 g",0.0
1750349,100262,NDB #,Foundation,"Oil, sunflower",0.0,100,g,"100 g",0.0
1750351,100258,NDB #,Foundation,"Oil, olive, extra light",0.0,100,g,"100 g",0.0
1750350,4511,NDB #,Foundation,"Oil, safflower",0.0,100,g,"100 g",0.0
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",0.0,115,g,"1 Banana, Peeled",0.0
1105073,100254,NDB #,Foundation,"Bananas, overripe, raw",0.0,110,g,"1 Banana, Peeled",0.0
747447,11090,NDB #,Foundation,"Broccoli, raw",0.0,76,g,"1 cup, chopped",0.0
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.0,27.89999999999999857891452847979962825775146484375,g,"1 link",0.0
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.0,450,g,"1 package",0.0
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.0,80.400000000000005684341886080801486968994140625,g,"1 link, medium",0.0
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.0,185,g,"1 cup, ground",0.0
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.0,186,g,"1 link, long",0.0
746780,7089,NDB #,Foundation,"Sausage, Italian, pork, mild, cooked, pan-fried",0.0,86.599999999999994315658113919198513031005859375,g,"1 link, medium",0.0
746771,9202,NDB #,Foundation,"Oranges, raw, navels",0.0,140,g,"1 each,  2-7/8 dia",0.0
746771,9202,NDB #,Foundation,"Oranges, raw, navels",0.0,165,g,"1 cup, sections no membranes",0.0
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.0,148,g,"1 each, small",0.0
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.0,230,g,"1 each, large",0.0
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.0,178,g,"1 each, medium",0.0
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.0,140,g,"1 cup, slices",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,55,g,"1 wedge, small (1/8 of small melon)",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,552,g,"1 each, medium (about 5 dia)",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,156,g,"1 cup, diced",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,138,g,"10 pieces, balls",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,160,g,"1 cup, cubes",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,814,g,"1 each, large (about 6-1/2 dia)",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,441,g,"1 each, small (about 4-1/4 dia)",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,102,g,"1 wedge, large (1/8 of large melon)",0.0
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.0,69,g,"1 wedge, medium (1/8 of medium melon)",0.0
746769,11251,NDB #,Foundation,"Lettuce, cos or romaine, raw",0.0,581,g,"1 bunch",0.0
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.0,129,g,"0.5 cup",0.0
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.0,258,g,"1 cup",0.0
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.0,64.599999999999994315658113919198513031005859375,g,"0.2 cup",0.0
746767,1040,NDB #,Foundation,"Cheese, swiss",0.0,10.9000000000000003552713678800500929355621337890625,g,"1 slice, thin",0.0
746767,1040,NDB #,Foundation,"Cheese, swiss",0.0,21.89999999999999857891452847979962825775146484375,g,"1 slice, regular",0.0
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.0,149,g,"1 cup",0.0
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.0,8.4000000000000003552713678800500929355621337890625,g,"1 each",0.0
746764,11130,NDB #,Foundation,"Carrots, frozen, unprepared",0.0,100,g,"100 g",0.0
333476,15066,NDB #,Foundation,"Fish, pollock, raw",0.0,177,g,"1 fillet",0.0
333008,100192,NDB #,Foundation,"Cookies, oatmeal, soft, with raisins",0.0,27,g,"1 cookie",0.0
332791,9533,NDB #,Foundation,"Olives, green, Manzanilla, stuffed with pimiento",0.0,3.20000000000000017763568394002504646778106689453125,g,"1 olive",0.0
330458,4047,NDB #,Foundation,"Oil, coconut",0.0,11.5999999999999996447286321199499070644378662109375,g,"1 tablespoon, liquid oil",0.0
330137,1256,NDB #,Foundation,"Yogurt, Greek, plain, nonfat",0.0,156,g,"1 container",0.0
329370,1029,NDB #,Foundation,"Cheese, mozzarella, low moisture, part-skim",0.0,86.2000000000000028421709430404007434844970703125,g,"1 cup",0.0
328637,1009,NDB #,Foundation,"Cheese, cheddar",0.0,105,g,"1 cup",0.0
328637,1009,NDB #,Foundation,"Cheese, cheddar",0.0,17,g,"1 slice",0.0
327357,9191,NDB #,Foundation,"Nectarines, raw",0.0,143,g,"1 cup,  slices",0.0
327357,9191,NDB #,Foundation,"Nectarines, raw",0.0,140,g,"1 serving, NLEA",0.0
327357,9191,NDB #,Foundation,"Nectarines, raw",0.0,142,g,"1 each,  2-1/2 dia",0.0
327357,9191,NDB #,Foundation,"Nectarines, raw",0.0,156,g,"1 each, 2-3/4 dia",0.0
327357,9191,NDB #,Foundation,"Nectarines, raw",0.0,129,g,"1 each, 2-1/3 dia",0.0
327046,9148,NDB #,Foundation,"Kiwifruit, green, raw",0.0,100,g,"100 g",0.0
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.0,6,g,"1 teaspoon",0.0
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.0,249,g,"1 cup",0.0
326196,11236,NDB #,Foundation,"Kale, frozen, cooked, boiled, drained, without salt",0.0,118,g,"1 cup, cooked",0.0
325524,12537,NDB #,Foundation,"Seeds, sunflower seed kernels, dry roasted, with salt added",1.4,127,g,"1 cup",1.8
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,147,g,"1 serving, NLEA ",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,161,g,"1 fruit, medium (2-2/3 dia)",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,225,g,"1 fruit, extra large (3 dia)",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,173,g,"1 fruit, large (2-3/4 dia)",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,154,g,"1 cup, slices with skin",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",0.0,147,g,"1 fruit, small (2-1/2 dia)",0.0
325036,1032,NDB #,Foundation,"Cheese, parmesan, grated",0.0,7.5999999999999996447286321199499070644378662109375,g,"1 tablespoon",0.0
324653,11937,NDB #,Foundation,"Pickles, cucumber, dill or kosher dill",0.0,40.39999999999999857891452847979962825775146484375,g,"1 spear",0.0
323505,11233,NDB #,Foundation,"Kale, raw",0.0,20.60000000000000142108547152020037174224853515625,g,"1 cup, pieces of ~1",0.0
323294,12563,NDB #,Foundation,"Nuts, almonds, dry roasted, with salt added",0.0,135,g,"1 cup, whole",0.0
321360,100147,NDB #,Foundation,"Tomatoes, grape, raw",0.0,152,g,"1 cup",0.0
