fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2259793,1116,NDB #,Foundation,"Yogurt, plain, whole milk",0.2,100,g,"100 g",0.2
2259794,1293,NDB #,Foundation,"Yogurt, Greek, plain, whole milk",0.2,100,g,"100 g",0.2
2346387,1056,NDB #,Foundation,"Cream, sour, full fat",1.2,100,g,"100 g",1.2
2346386,1053,NDB #,Foundation,"Cream, heavy",2.4,100,g,"100 g",2.4
2346385,1017,NDB #,Foundation,"Cream cheese, full fat, block",2.4,100,g,"100 g",2.4
2346384,1012,NDB #,Foundation,"Cottage cheese, full fat, large or small curd",0.2,100,g,"100 g",0.2
2259795,100272,NDB #,Foundation,"Cheese, parmesan, grated, refrigerated",1.7,100,g,"100 g",1.7
2259796,1019,NDB #,Foundation,"Cheese, feta, whole milk, crumbled",1.2,100,g,"100 g",1.2
2259792,1088,NDB #,Foundation,"Buttermilk, low fat",0.0,100,g,"100 g",0.0
2346403,100285,NDB #,Foundation,"Potatoes, gold, without skin, raw",0.8,100,g,"100 g",0.8
2346404,100286,NDB #,Foundation,"Sweet potatoes, orange flesh, without skin, raw",0.2,100,g,"100 g",0.2
2346402,100284,NDB #,Foundation,"Potatoes, red, without skin, raw",1.1,100,g,"100 g",1.1
2346401,100283,NDB #,Foundation,"Potatoes, russet, without skin, raw",1.5,100,g,"100 g",1.5
2346400,11052,NDB #,Foundation,"Beans, snap, green, raw",43.9,100,g,"100 g",43.9
2346408,11112,NDB #,Foundation,"Cabbage, red, raw",32.3,100,g,"100 g",32.3
2346407,11109,NDB #,Foundation,"Cabbage, green, raw",59.4,100,g,"100 g",59.4
2346406,11205,NDB #,Foundation,"Cucumber, with peel, raw",24.0,100,g,"100 g",24.0
2346390,11257,NDB #,Foundation,"Lettuce, leaf, red, raw",73.2,100,g,"100 g",73.2
2346391,11253,NDB #,Foundation,"Lettuce, leaf, green, raw",118,100,g,"100 g",118
2346389,100281,NDB #,Foundation,"Lettuce, romaine, green, raw",83.4,100,g,"100 g",83.4
2346388,11252,NDB #,Foundation,"Lettuce, iceberg, raw",20.5,100,g,"100 g",20.5
2257046,100277,NDB #,Foundation,"Oat milk, unsweetened, plain, refrigerated",0.4,100,g,"100 g",0.4
2257045,100276,NDB #,Foundation,"Almond milk, unsweetened, plain, refrigerated",0.0,100,g,"100 g",0.0
2257044,100275,NDB #,Foundation,"Soy milk, sweetened, plain, refrigerated",2.8,100,g,"100 g",2.8
2346392,12147,NDB #,Foundation,"Nuts, pine nuts, raw",3.2,100,g,"100 g",3.2
2346393,12061,NDB #,Foundation,"Nuts, almonds, whole, raw",0.0,100,g,"100 g",0.0
2346394,12155,NDB #,Foundation,"Nuts, walnuts, English, halves, raw",1.7,100,g,"100 g",1.7
2346395,12142,NDB #,Foundation,"Nuts, pecans, halves, raw",4.1,100,g,"100 g",4.1
2262075,12220,NDB #,Foundation,"Flaxseed, ground",3.7,100,g,"100 g",3.7
